Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
5001;Harpe - Saint-Germain;OUI;45;22;23;20;3;OUI;OUI;2020-03-29T18:34:57+02:00;48.851518815,2.34367031604;Paris;
19033;Cambrai - Benjamin Constant;OUI;43;34;9;6;3;OUI;OUI;2020-03-29T18:37:38+02:00;48.8959473685,2.38113380225;Paris;
18134;Ney - Porte de Clignancourt;OUI;25;20;5;2;3;OUI;OUI;2020-03-29T18:32:05+02:00;48.8978867,2.3458001;Paris;
12031;Gabriel Lamé;OUI;36;12;24;22;2;OUI;OUI;2020-03-29T18:38:15+02:00;48.8351212784,2.38553456962;Paris;
21312;Lucie Aubrac - Fort;OUI;30;26;5;4;1;OUI;OUI;2020-03-29T18:36:24+02:00;48.818144834,2.27118462324;Issy-les-Moulineaux;
31102;Boissière - Etienne Dolet;OUI;21;17;4;0;4;OUI;OUI;2020-03-29T18:29:09+02:00;48.876111,2.4677312;Montreuil;
11030;Oberkampf - République;OUI;24;22;2;1;1;OUI;OUI;2020-03-29T18:38:09+02:00;48.8654533,2.3760261;Paris;
31003;Paris - Emile Zola;OUI;30;19;11;7;4;OUI;OUI;2020-03-29T18:35:22+02:00;48.8548980958,2.41866856813;Montreuil;
22402;Jean Jaurès - Salvador Allende;OUI;43;36;8;5;3;OUI;OUI;2020-03-29T18:29:27+02:00;48.8214755947,2.30265766382;Malakoff;
19024;Botzaris - Parc des Buttes Chaumont;OUI;20;17;3;0;3;OUI;OUI;2020-03-29T18:38:07+02:00;48.877951,2.381464;Paris;
5106;Cujas - Saint-Michel;OUI;19;16;3;2;1;OUI;OUI;2020-03-29T18:35:59+02:00;48.8481913486,2.34183165485;Paris;
14110;Abbé Carton - Plantes;OUI;25;21;4;0;4;OUI;OUI;2020-03-29T18:32:53+02:00;48.8276738232,2.3209181428;Paris;
7005;Raspail - Bac;OUI;52;34;18;16;2;OUI;OUI;2020-03-29T18:38:12+02:00;48.8556287211,2.32566028833;Paris;
32303;Gaston Roussel - Commune de Paris;OUI;30;21;7;2;5;OUI;OUI;2020-03-29T18:32:28+02:00;48.8943203455,2.43255227442;Romainville;
11102;Alexandre Dumas - Voltaire;OUI;59;20;33;30;3;OUI;OUI;2020-03-29T18:34:54+02:00;48.8528886704,2.38914764081;Paris;
16124;Route de Sèvres - Porte de Bagatelle;OUI;66;52;14;12;2;OUI;OUI;2020-03-29T18:37:23+02:00;48.8752598413,2.24941581488;Paris;
27002;Parc Pierre Lagravère;OUI;30;24;6;5;1;OUI;OUI;2020-03-29T18:36:40+02:00;48.9265048813,2.23906967849;Colombes;
16123;Mahatma Gandhi;OUI;26;16;10;6;4;OUI;OUI;2020-03-29T18:36:47+02:00;48.876356,2.264205;Paris;
11006;Ledru-Rollin - Place du Père Chaillet;OUI;37;6;32;26;6;OUI;OUI;2020-03-29T18:38:11+02:00;48.8564337069,2.37902058776;Paris;
10010;Place Jacques Bonsergent;OUI;33;16;17;16;1;OUI;OUI;2020-03-29T18:28:42+02:00;48.8709482186,2.3612049222;Paris;
1117;Pont Neuf - Rivoli;OUI;27;24;3;3;0;OUI;OUI;2020-03-29T18:36:17+02:00;48.8600898926,2.34405755997;Paris;
13046;Eugène Oudiné - Dessous Des Berges;OUI;44;33;11;3;8;OUI;OUI;2020-03-29T18:37:46+02:00;48.8256423,2.3750226;Paris;
21311;Parvis Corentin Celton;OUI;55;22;33;24;9;OUI;OUI;2020-03-29T18:35:11+02:00;48.8274725252,2.278431952;Issy-les-Moulineaux;
18019;Square Raymond Souplex;OUI;52;42;10;3;7;OUI;OUI;2020-03-29T18:38:13+02:00;48.8918372148,2.33542610317;Paris;
35008;Place de l'Eglise;OUI;30;29;1;0;1;OUI;OUI;2020-03-29T18:29:26+02:00;48.8928094615,2.41243511438;Pantin;
13022;Butte aux Cailles - Esperance;OUI;36;26;6;1;5;OUI;OUI;2020-03-29T18:35:23+02:00;48.8275877419,2.34921511263;Paris;
12127;Tremblay - Lac des Minimes;OUI;48;37;11;6;5;OUI;OUI;2020-03-29T18:36:37+02:00;48.8341312615,2.45475165546;Paris;
22401;Charles de Gaulle - Plateau de Vanves;OUI;33;23;10;5;5;OUI;OUI;2020-03-29T18:29:15+02:00;48.8223308897,2.29857180341;Malakoff;
14016;René Coty - Parc Montsouris;OUI;55;49;7;5;2;OUI;OUI;2020-03-29T18:35:42+02:00;48.824791345,2.33612492681;Paris;
8011;Clapeyron - Moscou;OUI;15;11;4;3;1;OUI;OUI;2020-03-29T18:38:20+02:00;48.8807881951,2.32481505722;Paris;
13021;Boussingault - Tolbiac;OUI;28;18;10;6;4;OUI;OUI;2020-03-29T18:38:04+02:00;48.8260351661,2.342176808;Paris;
17029;Pierre Demours - Laugier;OUI;37;22;14;9;5;OUI;OUI;2020-03-29T18:37:48+02:00;48.8813072,2.294846;Paris;
10004;Metz - Faubourg Saint-Denis;OUI;48;21;27;22;5;OUI;OUI;2020-03-29T18:36:51+02:00;48.870893,2.353521;Paris;
10017;Gare de l'Est - Fidélité;OUI;15;11;4;3;1;OUI;OUI;2020-03-29T18:31:03+02:00;48.874575,2.356796;Paris;
21203;Place Jules Ferry;OUI;28;25;3;1;2;OUI;OUI;2020-03-29T18:28:59+02:00;48.8121079284,2.32583731413;Montrouge;
14101;Gare Montparnasse - Edgar Quinet;OUI;33;26;7;6;1;OUI;OUI;2020-03-29T18:37:31+02:00;48.8414878511,2.32332322828;Paris;
8549;George V - Christophe Colomb;OUI;24;12;12;7;5;OUI;OUI;2020-03-29T18:36:58+02:00;48.8704294,2.3011638;Paris;
4003;Quai aux Fleurs - Pont Saint-Louis;OUI;21;4;17;14;3;OUI;OUI;2020-03-29T18:36:46+02:00;48.8529159562,2.35219571739;Paris;
19108;Gaston Tessier - Rosa Parks RER;OUI;37;24;13;8;5;OUI;OUI;2020-03-29T18:32:43+02:00;48.8963765,2.3743692;Paris;
6008;Assas - Luxembourg;OUI;33;18;15;14;1;OUI;OUI;2020-03-29T18:36:00+02:00;48.8437344688,2.33342838188;Paris;
23010;Voltaire - Anatole France;OUI;27;21;6;4;2;OUI;OUI;2020-03-29T18:38:03+02:00;48.892061744,2.28446692228;Levallois-Perret;
44101;Place Mongolfier;OUI;39;27;12;10;2;OUI;OUI;2020-03-29T18:37:03+02:00;48.8151600301,2.45928794146;Saint-Maurice;
46002;Rouget de Lisle;NON;0;0;0;0;0;NON;NON;2019-03-19T15:06:29+01:00;48.7646675418,2.407155402;Choisy-le-Roi;
9004;Gérando - Rochechouart;OUI;21;14;7;4;3;OUI;OUI;2020-03-29T18:29:45+02:00;48.8829434084,2.34648462385;Paris;
18041;Rochechouart - Martyrs;OUI;20;17;3;1;2;OUI;OUI;2020-03-29T18:32:17+02:00;48.8821937796,2.34054956585;Paris;
8057;Hoche - Tilsitt;OUI;33;27;6;5;1;OUI;OUI;2020-03-29T18:32:27+02:00;48.8748364578,2.29713231325;Paris;
15039;Abbé Groult - Convention;OUI;12;4;8;8;0;OUI;OUI;2020-03-29T18:38:23+02:00;48.8359692787,2.30206403951;Paris;
4019;Cloître Saint-Merri - Renard;OUI;32;15;17;15;2;OUI;OUI;2020-03-29T18:35:12+02:00;48.8588354489,2.35182791948;Paris;
18026;Ruisseau - Ordener;OUI;35;28;7;5;2;OUI;OUI;2020-03-29T18:32:22+02:00;48.8929946257,2.34014488757;Paris;
7012;Cité Vaneau;OUI;26;4;22;14;8;OUI;OUI;2020-03-29T18:36:35+02:00;48.8542210666,2.31961492449;Paris;
10034;Louis Blanc - La Chapelle;OUI;21;6;14;5;9;OUI;OUI;2020-03-29T18:35:35+02:00;48.8840089645,2.35993355513;Paris;
14135;Jourdan - Cité Universitaire;OUI;39;31;8;1;7;OUI;OUI;2020-03-29T18:38:06+02:00;48.8198973432,2.33970079641;Paris;
